,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate
185,Tombstone,1993,7.8,50.0,149842,56.51,130,"Biography, Drama, History            ",R
186,Toy Story,1995,8.3,95.0,989016,191.8,81,"Animation, Adventure, Comedy            ",G
187,The Terminator,1984,8.1,84.0,861933,38.4,107,"Action, Sci-Fi            ",R
188,American History X,1998,8.5,62.0,1117892,6.72,119,"Crime, Drama            ",R
189,Mission: Impossible - Fallout,2018,7.7,86.0,332363,220.16,147,"Action, Adventure, Thriller            ",PG-13
190,Logan,2017,8.1,77.0,758770,226.28,137,"Action, Drama, Sci-Fi            ",R
191,Reservoir Dogs,1992,8.3,79.0,1013013,2.83,99,"Crime, Thriller            ",R
192,Hamilton,2020,8.4,90.0,93944,,160,"Biography, Drama, History            ",PG-13
193,Casino Royale,2006,8.0,80.0,656806,167.45,144,"Action, Adventure, Thriller            ",PG-13
194,The Hobbit: The Desolation of Smaug,2013,7.8,66.0,662838,258.37,161,"Adventure, Fantasy            ",PG-13
195,Superbad,2007,7.6,76.0,579606,121.46,113,Comedy            ,R
196,The Fly,1986,7.6,79.0,184014,40.46,96,"Drama, Horror, Sci-Fi            ",R
197,Boogie Nights,1997,7.9,85.0,266353,26.4,155,Drama            ,R
198,Nosferatu,1922,7.9,,98249,,94,"Fantasy, Horror            ",Not Rated
199,The Imitation Game,2014,8.0,71.0,766739,91.13,114,"Biography, Drama, Thriller            ",PG-13
200,Office Space,1999,7.7,68.0,267711,10.82,89,Comedy            ,R
201,The Hateful Eight,2015,7.8,68.0,597313,54.12,168,"Crime, Drama, Mystery            ",R
202,The Pianist,2002,8.5,85.0,827093,32.57,150,"Biography, Drama, Music            ",R
203,Sin City,2005,8.0,74.0,769069,74.1,124,"Crime, Thriller            ",R
204,The Boy in the Striped Pajamas,2008,7.7,55.0,219553,9.03,94,"Drama, War            ",PG-13
205,Apocalypto,2006,7.8,68.0,313635,50.87,139,"Action, Adventure, Drama            ",R
206,Blue Is the Warmest Colour,2013,7.7,90.0,152978,2.2,180,"Drama, Romance            ",NC-17
207,Dead Poets Society,1989,8.1,79.0,488811,95.86,128,"Comedy, Drama            ",PG
208,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,85.0,961765,248.16,115,"Action, Adventure            ",PG
209,The Father,2020,8.2,88.0,151642,,97,"Drama, Mystery            ",PG-13
210,Catch Me If You Can,2002,8.1,75.0,974456,164.62,141,"Biography, Crime, Drama            ",PG-13
211,Die Hard,1988,8.2,72.0,872931,83.01,132,"Action, Thriller            ",R
212,Sicario,2015,7.6,82.0,429036,46.89,121,"Action, Crime, Drama            ",R
213,Jojo Rabbit,2019,7.9,58.0,386354,33.37,108,"Comedy, Drama, War            ",PG-13
214,The Lion in Winter,1968,7.9,,31802,22.28,134,"Biography, Drama, History            ",PG
215,Zootopia,2016,8.0,78.0,496945,341.27,108,"Animation, Adventure, Comedy            ",PG
216,The Perks of Being a Wallflower,2012,8.0,67.0,511146,17.74,103,Drama            ,PG-13
217,La La Land,2016,8.0,94.0,584133,151.1,128,"Comedy, Drama, Music            ",PG-13
218,Ferris Bueller's Day Off,1986,7.8,61.0,358586,70.14,103,Comedy            ,PG-13
219,Primal Fear,1996,7.7,47.0,218157,56.12,129,"Crime, Drama, Mystery            ",R
220,"Monsters, Inc.",2001,8.1,79.0,905216,289.92,92,"Animation, Adventure, Comedy            ",G
221,Hidden Figures,2016,7.8,74.0,230064,169.61,127,"Biography, Drama, History            ",PG
222,Inside Out,2015,8.2,94.0,709768,356.46,95,"Animation, Adventure, Comedy            ",PG
223,The Theory of Everything,2014,7.7,71.0,450957,35.89,123,"Biography, Drama, Romance            ",PG-13
224,The Irishman,2019,7.8,94.0,385975,7.0,209,"Biography, Crime, Drama            ",R
225,Into the Wild,2007,8.1,73.0,622506,18.35,148,"Adventure, Biography, Drama            ",R
226,Fargo,1996,8.1,85.0,676574,24.61,98,"Crime, Thriller            ",R
227,The Help,2011,8.1,62.0,458923,169.71,146,Drama            ,PG-13
228,Casino,1995,8.2,73.0,518655,42.44,178,"Crime, Drama            ",R
229,Willy Wonka & the Chocolate Factory,1971,7.8,67.0,202292,4.0,100,"Family, Fantasy, Musical            ",G
230,Ex Machina,2014,7.7,78.0,544124,25.44,108,"Drama, Sci-Fi, Thriller            ",R
231,Singin' in the Rain,1952,8.3,99.0,242462,8.82,103,"Comedy, Musical, Romance            ",G
232,The Intouchables,2011,8.5,57.0,853108,13.18,112,"Biography, Comedy, Drama            ",R
233,Rocky,1976,8.1,70.0,574157,117.24,120,"Drama, Sport            ",PG
234,Deliverance,1972,7.7,80.0,110249,7.06,109,"Adventure, Drama, Thriller            ",R
235,Moana,2016,7.6,81.0,334922,248.76,107,"Animation, Adventure, Comedy            ",PG
236,My Cousin Vinny,1992,7.6,68.0,125677,52.93,120,"Comedy, Crime            ",R
237,Y tu mamá también,2001,7.7,88.0,123547,13.62,106,Drama            ,R
238,Your Name.,2016,8.4,79.0,266265,5.02,106,"Animation, Drama, Fantasy            ",PG
239,True Romance,1993,7.9,59.0,227596,12.28,119,"Crime, Drama, Romance            ",R
240,Shrek,2001,7.9,84.0,674909,267.67,90,"Animation, Adventure, Comedy            ",PG
241,Nightcrawler,2014,7.8,76.0,544551,32.38,117,"Crime, Drama, Thriller            ",R
242,Star Wars: Episode VII - The Force Awakens,2015,7.8,80.0,927890,936.66,138,"Action, Adventure, Sci-Fi            ",PG-13
243,Edge of Tomorrow,2014,7.9,71.0,676271,100.21,113,"Action, Adventure, Sci-Fi            ",PG-13
244,The Game,1997,7.7,61.0,396420,48.32,129,"Drama, Mystery, Thriller            ",R
245,Airplane!,1980,7.7,78.0,239962,83.4,88,Comedy            ,PG
246,Blue Velvet,1986,7.7,76.0,200061,8.55,120,"Crime, Drama, Mystery            ",R
247,What Ever Happened to Baby Jane?,1962,8.0,75.0,57051,4.05,134,"Drama, Horror, Thriller            ",Passed
248,Despicable Me,2010,7.6,72.0,547116,251.51,95,"Animation, Adventure, Comedy            ",PG
249,Memories of Murder,2003,8.1,82.0,183658,0.01,132,"Crime, Drama, Mystery            ",Not Rated
250,Man on Fire,2004,7.7,47.0,363830,77.91,146,"Action, Crime, Drama            ",R
251,The Revenant,2015,8.0,76.0,800025,183.64,156,"Action, Adventure, Drama            ",R
252,The Incredibles,2004,8.0,90.0,734142,261.44,115,"Animation, Action, Adventure            ",PG
253,Spotlight,2015,8.1,93.0,469111,45.06,129,"Biography, Crime, Drama            ",R
254,The Curious Case of Benjamin Button,2008,7.8,70.0,649764,127.51,166,"Drama, Fantasy, Romance            ",PG-13
255,Captain America: Civil War,2016,7.8,75.0,783087,408.08,147,"Action, Adventure, Sci-Fi            ",PG-13
256,Zodiac,2007,7.7,78.0,540408,33.08,157,"Crime, Drama, Mystery            ",R
257,Trainspotting,1996,8.1,83.0,685894,16.5,93,Drama            ,R
258,The Girl with the Dragon Tattoo,2011,7.8,71.0,463527,102.52,158,"Crime, Drama, Mystery            ",R
259,A Beautiful Mind,2001,8.2,72.0,929607,170.74,135,"Biography, Drama            ",PG-13
260,Once Upon a Time in America,1984,8.3,75.0,351600,5.32,229,"Crime, Drama            ",R
261,"O Brother, Where Art Thou?",2000,7.7,69.0,312472,45.51,107,"Adventure, Comedy, Crime            ",PG-13
262,Evil Dead II,1987,7.7,72.0,165846,5.92,84,"Comedy, Horror            ",R
263,Skyfall,2012,7.8,81.0,696355,304.36,143,"Action, Adventure, Thriller            ",PG-13
264,Casablanca,1942,8.5,100.0,570101,1.02,102,"Drama, Romance, War            ",PG
265,Platoon,1986,8.1,92.0,414205,138.53,120,"Drama, War            ",R
266,Silver Linings Playbook,2012,7.7,81.0,708819,132.09,122,"Comedy, Drama, Romance            ",R
267,RoboCop,1987,7.6,70.0,259531,53.42,102,"Action, Crime, Sci-Fi            ",R
268,Hot Fuzz,2007,7.8,81.0,505793,23.64,121,"Action, Comedy, Mystery            ",R
269,Mr. Nobody,2009,7.8,63.0,233929,0.0,141,"Drama, Fantasy, Romance            ",R
270,Tumbbad,2018,8.2,,48556,,104,"Drama, Fantasy, Horror            ",Not Rated
271,The Martian,2015,8.0,80.0,849672,228.43,144,"Adventure, Drama, Sci-Fi            ",PG-13
272,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82.0,1284938,290.48,124,"Action, Adventure, Fantasy            ",PG
273,It's a Wonderful Life,1946,8.6,89.0,453906,,130,"Drama, Family, Fantasy            ",PG
274,500 Days of Summer,2009,7.7,76.0,515376,32.39,95,"Comedy, Drama, Romance            ",PG-13
275,Downfall,2004,8.2,82.0,355904,5.51,156,"Biography, Drama, History            ",R
276,As Good as It Gets,1997,7.7,67.0,299513,148.48,139,"Comedy, Drama, Romance            ",PG-13
